Origen,Destino,Paradas
AV 39,Calle 26,AV 39-Profamilia-Calle 26
AV 39,Calle 19,AV 39-Profamilia-Calle 26-Calle 19
AV 39,AV Jimenez,AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez
AV 39,Tercer Milenio,AV 39-Profamilia-Calle 26-Calle 19-AV Jimenez-Tercer Milenio
Profamilia,Calle 26,Profamilia-Calle 26
Profamilia,Calle 19,Profamilia-Calle 26-Calle 19
Profamilia,AV Jimenez,Profamilia-Calle 26-Calle 19-AV Jimenez
Profamilia,Tercer Milenio,Profamilia-Calle 26-Calle 19-AV Jimenez-Tercer Milenio
Calle 26,Calle 19,Calle 26-Calle 19
Calle 26,AV Jimenez,Calle 26-Calle 19-AV Jimenez
Calle 26,Tercer Milenio,Calle 26-Calle 19-AV Jimenez-Tercer Milenio
Calle 19,AV Jimenez,Calle 19-AV Jimenez
Calle 19,Tercer Milenio,Calle 19-AV Jimenez-Tercer Milenio
AV Jimenez,Tercer Milenio,AV Jimenez-Tercer Milenio
Portal de la 80,Quirigua,Portal de la 80-Quirigua
Portal de la 80,Carrera 90,Portal de la 80-Quirigua-Carrera 90
Portal de la 80,Avenida Cali,Portal de la 80-Quirigua-Carrera 90-Avenida Cali
Portal de la 80,Granja Carrera 77,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77
Portal de la 80,Minuto de Dios,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios
Portal de la 80,Boyaca,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca
Portal de la 80,Ferias,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias
Portal de la 80,Avenida 68,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68
Portal de la 80,Carrera 53,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53
Portal de la 80,Carrera 47,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47
Portal de la 80,Escuela Militar,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar
Portal de la 80,Polo,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo
Portal de la 80,Heroes,Portal de la 80-Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Quirigua,Carrera 90,Quirigua-Carrera 90
Quirigua,Avenida Cali,Quirigua-Carrera 90-Avenida Cali
Quirigua,Granja Carrera 77,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77
Quirigua,Minuto de Dios,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios
Quirigua,Boyaca,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca
Quirigua,Ferias,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias
Quirigua,Avenida 68,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68
Quirigua,Carrera 53,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53
Quirigua,Carrera 47,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47
Quirigua,Escuela Militar,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar
Quirigua,Polo,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo
Quirigua,Heroes,Quirigua-Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Carrera 90,Avenida Cali,Carrera 90-Avenida Cali
Carrera 90,Granja Carrera 77,Carrera 90-Avenida Cali-Granja Carrera 77
Carrera 90,Minuto de Dios,Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios
Carrera 90,Boyaca,Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca
Carrera 90,Ferias,Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias
Carrera 90,Avenida 68,Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68
Carrera 90,Carrera 53,Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53
Carrera 90,Carrera 47,Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47
Carrera 90,Escuela Militar,Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar
Carrera 90,Polo,Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo
Carrera 90,Heroes,Carrera 90-Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Avenida Cali,Granja Carrera 77,Avenida Cali-Granja Carrera 77
Avenida Cali,Minuto de Dios,Avenida Cali-Granja Carrera 77-Minuto de Dios
Avenida Cali,Boyaca,Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca
Avenida Cali,Ferias,Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias
Avenida Cali,Avenida 68,Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68
Avenida Cali,Carrera 53,Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53
Avenida Cali,Carrera 47,Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47
Avenida Cali,Escuela Militar,Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar
Avenida Cali,Polo,Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo
Avenida Cali,Heroes,Avenida Cali-Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Granja Carrera 77,Minuto de Dios,Granja Carrera 77-Minuto de Dios
Granja Carrera 77,Boyaca,Granja Carrera 77-Minuto de Dios-Boyaca
Granja Carrera 77,Ferias,Granja Carrera 77-Minuto de Dios-Boyaca-Ferias
Granja Carrera 77,Avenida 68,Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68
Granja Carrera 77,Carrera 53,Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53
Granja Carrera 77,Carrera 47,Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47
Granja Carrera 77,Escuela Militar,Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar
Granja Carrera 77,Polo,Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo
Granja Carrera 77,Heroes,Granja Carrera 77-Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Minuto de Dios,Boyaca,Minuto de Dios-Boyaca
Minuto de Dios,Ferias,Minuto de Dios-Boyaca-Ferias
Minuto de Dios,Avenida 68,Minuto de Dios-Boyaca-Ferias-Avenida 68
Minuto de Dios,Carrera 53,Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53
Minuto de Dios,Carrera 47,Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47
Minuto de Dios,Escuela Militar,Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar
Minuto de Dios,Polo,Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo
Minuto de Dios,Heroes,Minuto de Dios-Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Boyaca,Ferias,Boyaca-Ferias
Boyaca,Avenida 68,Boyaca-Ferias-Avenida 68
Boyaca,Carrera 53,Boyaca-Ferias-Avenida 68-Carrera 53
Boyaca,Carrera 47,Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47
Boyaca,Escuela Militar,Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar
Boyaca,Polo,Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo
Boyaca,Heroes,Boyaca-Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Ferias,Avenida 68,Ferias-Avenida 68
Ferias,Carrera 53,Ferias-Avenida 68-Carrera 53
Ferias,Carrera 47,Ferias-Avenida 68-Carrera 53-Carrera 47
Ferias,Escuela Militar,Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar
Ferias,Polo,Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo
Ferias,Heroes,Ferias-Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Avenida 68,Carrera 53,Avenida 68-Carrera 53
Avenida 68,Carrera 47,Avenida 68-Carrera 53-Carrera 47
Avenida 68,Escuela Militar,Avenida 68-Carrera 53-Carrera 47-Escuela Militar
Avenida 68,Polo,Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo
Avenida 68,Heroes,Avenida 68-Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Carrera 53,Carrera 47,Carrera 53-Carrera 47
Carrera 53,Escuela Militar,Carrera 53-Carrera 47-Escuela Militar
Carrera 53,Polo,Carrera 53-Carrera 47-Escuela Militar-Polo
Carrera 53,Heroes,Carrera 53-Carrera 47-Escuela Militar-Polo-Heroes
Carrera 47,Escuela Militar,Carrera 47-Escuela Militar
Carrera 47,Polo,Carrera 47-Escuela Militar-Polo
Carrera 47,Heroes,Carrera 47-Escuela Militar-Polo-Heroes
Escuela Militar,Polo,Escuela Militar-Polo
Escuela Militar,Heroes,Escuela Militar-Polo-Heroes
Polo,Heroes,Polo-Heroes
Portal de Suba,Suba TV 91,Portal de Suba-Suba TV 91
Portal de Suba,21 Angeles,Portal de Suba-Suba TV 91-21 Angeles
Portal de Suba,Gratamira,Portal de Suba-Suba TV 91-21 Angeles-Gratamira
Portal de Suba,Suba AV Boyaca,Portal de Suba-Suba TV 91-21 Angeles-Gratamira-Suba AV Boyaca
Portal de Suba,Niza CL 127,Portal de Suba-Suba TV 91-21 Angeles-Gratamira-Suba AV Boyaca-Niza CL 127
Portal de Suba,Humedal Cordoba,Portal de Suba-Suba TV 91-21 Angeles-Gratamira-Suba AV Boyaca-Niza CL 127-Humedal Cordoba
Portal de Suba,Shaio,Portal de Suba-Suba TV 91-21 Angeles-Gratamira-Suba AV Boyaca-Niza CL 127-Humedal Cordoba-Shaio
